,Arousal,Arousal.std,Frequency,Valence,Valence.std
#cancoturlgbtmx,2.86030541897,0.916764557362,0.937719175816,3.1065221858,0.885332629681
#carbono,3.25297485292,0.979444846511,2.62876906991,1.05556750298,0.644505158067
#cartierbresson,2.80082066596,1.16932870746,28.2365041691,3.84764827073,0.812961863279
#casadelahuizote,2.22353096128,1.04429686308,3.9835818541,3.03902120829,0.968027991056
#cce,3.05489321709,1.29775538921,2.25671622992,1.43557012081,0.84985751152
#cdi,2.68189806461,1.13930256128,1.98117657781,1.2602904439,0.746091942787
#cdmxglobal,2.33017546594,0.992003746033,4.15401568651,2.36634226918,0.759502868056
#cedocomomancera,2.44601477802,1.14927097678,0.818728439212,1.11875935793,0.798387359977
#cente,4.23888790607,0.935858368874,4.61873630285,0.913838171959,0.891817975044
#centronautas,2.73670990348,1.02286572933,1.06639193058,3.13388648987,1.06639193058
#cerrada,2.71071612775,1.03883731842,7.43959017098,2.62955696225,0.919803875685
#ceteg,4.46090041399,0.984874117374,4.8606434381,0.96170060873,0.938527100086
#chaton,3.3901216507,0.973651009798,1.98261578679,3.78866273761,0.913113123178
#chexicanparty,3.55725214183,1.01559814513,1.99397541583,1.15916437507,0.739100220799
#chihuahuan__URL__,2.6835137713,1.1036580646,0.302525560856,2.86278817773,1.1036580646
#chinan__URL__,3.12573029995,0.947190999985,2.1627527833,2.48900746107,1.1892509222
#chivatito,2.7399073559,1.05002437592,7.5197058171,2.65787420154,0.929709082842
#choque,3.90496982038,1.06499176919,8.45231562853,1.13261029422,0.642375987768
#churubusco,2.70072283387,1.0350075531,7.41216346622,2.61986286879,0.916412937641
#ciapemexicodigital,2.27494423747,1.05038028598,6.40784757376,2.41745814562,1.00287564993
#ciavttp,2.3369815433,1.07902396083,6.58258838415,2.48338177919,1.0302238822
#circuitointerior,2.56227357388,1.16384114742,9.60648749232,2.37692634702,0.980314406157
#circulacion,2.78734631181,1.06820457458,7.64990255237,2.70389282942,0.945806133747
#circulacionconstante,2.53526465833,1.1606400013,9.63354847491,2.34645609736,0.975508042574
#clasiconacional,3.63122333944,1.05889158547,24.1685547727,4.07544127285,0.805790669918
#clonspiracion,2.29221451759,0.978516103029,1.2542305851,2.55711666703,0.594678294659
#cnvivienda,2.25939534903,1.04320110083,6.3640509367,2.40093519688,0.996021151543
#cobaep,2.04734691203,0.961550792456,3.66793813527,2.79822084546,0.891325172782
#comidadegodinez,2.48167954445,0.908564686775,0.0,2.16497985363,0.944907274246
#comisionredactora,2.80732372999,1.29618891478,7.90740373135,2.98318855762,1.23756730556
#complot,2.23403108597,1.4072205615,0.0,1.42912282705,0.777530426979
#comprahoy,2.78417036533,1.14918851852,0.0,1.41559131145,1.01859891415
#conflictodeinteres,4.00045484841,1.44710025907,1.60257384062,1.00459852695,0.681691857576
#constitucionmexicana,2.70671845973,1.1172196269,0.0,1.3762114495,0.990262851119
#constituyentes,3.33215086877,1.07760388613,8.09860624373,2.00542198062,0.815241125822
#controlnocontrol,2.6650346005,1.11263870001,26.8675754654,3.66111115098,0.773548810482
#coronalight,2.46500768304,0.99932743907,2.37788682938,2.03452817082,1.08644829273
#coronalodazal,2.89403770268,1.17325852811,2.79175362587,2.38863402903,1.27554260492
#correa,3.23365645051,1.22732934475,2.06391606808,1.21074198961,0.768619873524
#cortesviales,2.70837764025,1.03794113159,7.43317216635,2.62728848934,0.91901037693
#cortevial,3.55057574451,0.968338839412,7.68522888422,1.02982067049,0.584077395201
#cosme,2.51455288649,1.03416893244,0.283477778435,2.68253971815,1.03416893244
#crazy17,2.8588302359,1.00035807312,2.29112176508,1.63861886293,0.7725431934
#creer,2.62922487795,1.04005709052,1.1094802022,3.2013010186,0.59641292274
#crimendeestado,4.27016895413,0.942764574289,4.65282045782,0.920581878424,0.898399182558
#ctmpuebla,2.27431998014,1.0500920558,6.40608922482,2.41679478168,1.00260045528
#cuaresma2015,2.91424328685,1.07011429071,3.80254204273,1.02855645418,0.581809711456
#cumbreanticorrupcion,2.31794297934,1.07023353338,6.52896235943,2.46315054417,1.02183101177
#delegados,2.87014597714,1.13388483047,2.17159192979,3.20929902911,1.01745915592
#deltequilaaprendi,4.20344594598,1.0092857933,1.84079965711,1.43364459276,0.98634747982
#deportada,3.00802547336,1.02476800025,0.0,1.26439036846,0.825932418108
#despuesdelodemaskota,3.14926113129,1.15437443495,1.52143358707,0.925627427101,0.505371296406
#dondequierasestar,2.68492380142,1.14058793068,1.98341175556,1.2617123127,0.746933689117
#dontjudgeme,2.21173628926,1.33815095127,0.449416734576,0.797840944529,0.691798793674
