,Arousal,Arousal.std,Frequency,Valence,Valence.std
#airstream,2.4021611926,1.49362820596,6.38672709465,2.22915756732,0.800251423419
#aliencampsite,2.84931202173,1.74255445957,0.588700830936,1.1303055954,0.777085096836
#allornothing,3.19575218201,1.25825782776,0.556751251221,1.32506797791,0.952044639587
#allraddays,2.12966235995,1.56956767201,0.651272892952,3.42569541693,0.94434569478
#alr2015,2.43191176265,1.35201018274,3.58408561349,2.66364210099,0.990256402195
#amor,2.97141996384,1.14705550075,0.0,2.13024592996,1.09789597929
#anaheimhills,3.30983136177,1.51744664669,17.4479928017,1.08389046192,0.629185194969
#andilipo,2.00708383083,1.29697522402,34.625130415,3.70899702072,0.915511922836
#andy_x9,2.27558295265,1.2549838011,4.41837392747,2.29382760525,0.830857338458
#annabellegoeswest,2.09534779847,1.33340314448,12.9039013982,3.53321109712,0.878694238067
#annadel,2.03500273407,1.29500173986,12.5322749019,3.43145622313,0.853388243318
#anonuevo,2.17502895713,1.60300299287,0.66514647007,3.49867043257,0.964462381601
#anorexia,1.96691134572,1.43325322866,2.54122912884,1.38751110435,0.94025477767
#anotherdayinparadise,2.14147548974,1.57827398479,0.654885470867,3.44469757676,0.949583932757
#ansarullah,3.47300945342,1.20752162814,40.9892662764,4.22632569849,0.880715315938
#anv15,2.54281241953,1.34960203588,15.0599368811,2.50226643562,0.973103613853
#apha2015,3.27915698826,1.04642924428,0.518034279346,3.77646989644,0.564657364488
#apse2015,3.21492776513,1.02593271494,0.507887482643,3.70249974847,0.553597356081
#aqua,2.121992957,1.56391529858,0.648927509785,3.41335870147,0.940944889188
#arcgis,2.71537268162,1.48823310435,1.04437410831,3.70230621397,0.9294929564
#ardeeart,2.82205572724,1.23144249916,0.513101041317,1.56495817602,1.03133309305
#artsy,2.12512063265,1.5662204051,0.649883985519,3.41838976383,0.942331779003
#ashg14,1.93916959047,1.41303830624,2.50538706779,1.36794133902,0.926993215084
#athlone,2.50469334126,1.2821644485,2.38542222977,2.72534489751,1.01380444765
#atthesource,2.54452192068,1.32253037453,10.6446447372,2.55526009858,1.11399345994
#australianopen,3.13856434464,1.47287575901,1.07118237019,1.4407402879,0.985487780571
#bacararesort,2.16688261628,1.59699911475,0.662655234337,3.48556653261,0.960850089788
#baker,1.99867867053,1.06525881648,0.527355849743,2.49439316928,0.55372364223
#banking,3.12051406056,1.32945288688,10.4827082455,3.274184829,0.854893559217
#barbiojm,2.6781336538,1.36497568965,9.1424596111,2.67893696169,0.807803100348
#batesnutfarm,2.81425382495,1.10615095496,1.02897763252,3.20012043715,0.818037217855
#beachday,2.76614969254,1.53563825607,30.5126819611,4.01666944504,0.795330562592
#beautifulview,2.11388657212,1.55794086814,0.646448493004,3.4003190732,0.937350314856
#beautyampbrainspersonality,2.35216684341,1.50422521591,5.22703742981,4.17582212448,0.981521472931
#beercamptour,2.33631912172,1.41754193902,1.05003106594,3.9061155653,0.677270037532
#beerselfie,2.50278234959,1.32895674348,1.55131137371,3.10262274742,1.14279937863
#belichick,3.20410594344,1.50363333523,1.09355151653,1.47082678974,1.00606739521
#belusa,3.30776576042,1.30236073494,0.57626581192,1.37151263237,0.985414538383
#berniesanders,3.32729402989,1.50026088238,1.11647543311,1.78270127654,0.874650285542
#bestactor,3.53069912553,1.39013589263,0.61510437727,1.4639484179,1.05182848513
#bidwellpark,1.98225989819,1.26143811703,12.2074656487,3.34252035618,0.831270279884
#big10,3.26347990394,1.04142644644,0.515557646751,3.75841524482,0.561957834959
#bigtrees,2.05059926391,1.3049268043,12.6283239126,3.45775535703,0.859928723574
#bilingual,2.41051897109,1.22609113097,2.97594934702,3.03546833396,0.720179741979
#biotech,2.50744778216,0.930599176884,1.55099862814,3.33981704593,0.81168928206
#bkercali,2.06205006599,1.31221367836,12.6988420486,3.47706389427,0.864730672836
#blendedlearning,2.88322091103,1.25708431721,4.61315345764,3.93847976446,1.03219308615
#blythe,3.4774727273,1.59430458903,18.3317252398,1.13878899217,0.661053122282
#bmttandem15,2.91682904363,0.999015948176,1.06474250555,3.59561561197,0.700945234299
#bmwccahpde,2.70118427277,1.40253638268,7.98559427261,3.7260427618,0.739262905121
#bmwpc,2.84242007971,1.73833955288,0.587276875973,1.12757160187,0.775205476284
#boomboomempire,2.71547388077,1.22246425629,10.020198822,3.66739276886,0.951918888092
#boos,2.13100293159,1.57055567741,0.651682853699,3.42785181046,0.944940137863
#bottleshock,2.51398769438,1.2844197458,25.9526561499,2.78947457075,1.05342395067
#boy_a_my,2.76106027126,1.30443792343,5.97867381573,1.11420739293,0.766357280016
#brainstorming,2.1293816936,1.56936082006,0.651187062263,3.42524394751,0.944221240282
#brandbowl,3.26053256989,1.28376369476,0.568037033081,1.35192813873,0.971343326569
#brandysolamente,2.41872567534,1.18627923548,3.37351828814,2.44348948896,0.916022357345
#brianwilliams,2.40588228464,1.25476853848,12.5476853848,3.26239820004,0.932893130779
#bridlewood,2.83391347885,1.73313716888,0.585519313812,1.12419708252,0.772885494232
#brosemite,2.97701067567,1.57443395138,1.10875630379,4.36849983692,0.57100949645
#bryincali,2.12220891416,1.56407445967,0.648993551731,3.41370608211,0.94104065001
#bubbly,2.44599197745,1.19741029859,36.8433938026,3.04469712675,1.12065322816
#bucs,2.6660422802,1.46119624972,1.025400877,3.63504610896,0.912606780529
#bugatti,2.92432600021,1.12887584567,0.0,2.09648371339,1.08049545228
#buildingthelist,3.67350389361,1.2896905756,10.5712342262,1.22097755313,0.761128864288
#burlingame,2.43217048645,1.24503965378,2.31635284424,2.64643312454,0.984449958801
#bush,3.41552283347,1.08994567513,0.539577066898,3.93351681769,0.588139002919
#buydirtyworkonitunes,2.78536761284,1.30706799865,20.5477938652,1.75797791958,1.17008270621
#cabernet,2.59376591742,1.32279384077,27.305265069,2.8930851835,1.09122128427
#caitlynjenner,2.84109925985,1.30649090052,2.07379508018,1.47239450693,1.073188954
#cajonpass,3.23622981846,1.66177319914,19.8044129312,2.29143056601,0.993423221409
#cakebread,2.56163053751,1.35958978415,15.1713881493,2.52078449249,0.980305080414
#calabasasarea,2.94926070392,1.35102585852,60.364985168,3.91510046661,1.08082068682
#calaverascountyarea,2.92851622581,1.34152302742,59.9403905869,3.8875624752,1.07321842194
#calaverascountycounty,3.00602602065,1.37702946365,61.5268483758,3.99045559466,1.10162357092
#californiando,2.17005650997,1.54487356305,7.23352169991,3.96810333252,0.888689808846
#canyoncountry,3.03483870536,1.57291875452,18.7963481247,2.24952624828,0.962524111867
#cappuccino,2.33778192401,1.41842948198,1.05068850517,3.90856123924,0.677694085836
#car2go,2.89465430737,1.77028445244,0.59806907177,1.1482926178,0.789451174736
#carlsjr,2.90843065262,1.12273977399,0.0,2.08508815169,1.0746223551
#carmelmountainranchpoway,3.3959370625,1.55692322195,17.9019046426,1.11208801568,0.645553531051
#carolinapanthers,3.27184496462,1.04409586549,0.516879141331,3.7680489403,0.56339826405
#cascades,2.96580286264,1.81379679203,0.612769186497,1.17651683807,0.808855326176
#cask,2.37426259518,1.44056382179,1.06708431244,3.96955364227,0.688269381523
#castaic,3.03537167192,1.57168255955,18.7763396204,2.23946045369,0.959480689466
#castellodiamorosa,2.4010086453,1.17538916945,36.1658205986,2.98870323002,1.10004370987
#castilliodiamarosa,2.57866640508,1.31502454579,27.1615450382,2.8766778025,1.08499458879
#cateblanchett,3.2486623466,1.27909005284,0.565969049931,1.34700633883,0.967807075381
#celeb,3.17451271057,1.24989524841,0.553050994873,1.3162613678,0.945717201233
#central,3.09374431372,1.41721230745,63.3222520351,4.10690034628,1.13376984596
#centralca,2.87954136372,1.31908814907,58.9379811287,3.82254906178,1.05527051926
#centralcalifornia,2.87507464886,1.31704199314,58.8465571404,3.8166195631,1.05363359451
#ceres,2.92654208273,1.52584627181,18.265185684,2.23189192146,0.947412917018
#cesarina_x3,1.92623642027,1.2788511771,9.02094191313,2.58954097271,0.604933751822
#chappellet,2.46979423046,1.20906244755,37.201921463,3.07432545424,1.1315584445
#chardonnay,2.63890175134,1.34694819659,27.5285744071,2.93624597251,1.10813083112
#charlesbarkley,3.18084178567,1.2523871839,0.554153621197,1.31888561845,0.947602692246
#charlestonshooting,3.15112009625,1.29118512561,3.64519717296,2.06568067809,1.01569573383
#chillis,2.42938388824,1.28998276711,1.50581645966,3.01163291931,1.10928479195
#choke,3.22866309881,1.27121578455,0.56248486042,1.3387139678,0.961849111319
#choker,3.26088154316,1.28390109539,0.568097829819,1.35207283497,0.97144728899
